GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,0,148,7,21,0,39,7,11,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,0,98,1,5,0,30,1,6,0,4
